reference	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S60	S61	S62	S63	S64	S65	S66	S67	S68	S69	S70	S71	S72	S73	S74	S75	S76	S77	S78	S79	S80	S81	S82	S83	S84	S85	S86	S87	S88	S89	S90	S91	S92	S93	S94	S95	S96	S97	S98	S99	S100	S101	S102	S103	S104	S105	S106	S107	S108	S109	S110	S111	S112	S113	S114	S115	S116	S117	S118	S119	S120	S121	S122	S123	S124	S125	S126	S127	S128	S129	S130	S131	S132	S133	S134	S135	S136	S137	S138	S139	S140	S141	S142	S143	S144	S145	S146	S147	S148	S149	S150	S151	S152	S153	S154	S155																																																																																																																																																												
time 	area																																																																																																																																																																																																																																																																																																																						
0	0	9.901	0.743	10.567	0.859	14.669	0.204	8.08	0.449	7.41	0.649	8.712	0.685	12.625	2.405	7.041	0.689	9.728	0.863	10.649	0.599	12.033	0.421	21.482	0.505	6.222	0.524	6.463	0.425	8.084	1.399	10.648	0.78	24.623	0.251	12.145	1.014	9.739	0.553	11.276	0.282	14.414	0.23	10.842	0.354	10.645	0.52	26.48	0.644	8.081	0.511	8.076	0.822	11.272	0.355	10.565	2.422	13.067	0.264	8.708	0.313	8.986	0.357	9.736	1.44	8.081	0.881	8.081	0.851	8.713	0.75	8.078	0.809	8.083	1.158	10.462	0.596	8.713	0.737	13.207	0.546	8.71	0.973	7.421	1.125	8.073	0.846	10.559	1.982	8.708	0.294	8.712	0.323	13.297	0.993	7.935	3.138	6.285	2.299	8.708	0.348	8.708	0.271	9.734	1.197	8.71	0.562	7.934	1.51	8.709	0.703	8.708	0.534	7.983	0.545	11.435	0.399	8.707	0.266	8.709	0.369	8.708	0.348	10.713	0.473	8.707	0.261	12.63	0.381	7.94	1.629	6.404	0.337	9.739	0.607	8.711	0.308	9.739	0.665	12.341	0.318	16.315	0.349	8.706	0.257	12.861	0.262	10.464	0.437	11.435	0.331	8.71	0.486	8.708	0.275	9.546	0.239	11.438	0.223	8.71	0.266	7.415	0.586	10.646	1.958	10.461	0.302	8.076	0.806	13.085	0.651	8.082	0.903	7.935	1.527	8.08	1.111	9.693	0.345	24.156	2.812	8.08	0.295	7.409	0.651	6.569	0.485	9.552	0.241	7.418	0.753	9.737	0.916	8.711	0.681	8.708	0.888	30.473	3.889	7.989	0.409	7.943	5.157	8.076	0.762	8.077	0.756	8.083	0.998	8.077	0.831	8.709	0.822	8.077	0.851	27.824	0.254	8.692	0.985	8.713	0.928	7.988	0.469	7.941	1.657	8.084	0.952	8.713	0.42	7.417	0.829	7.418	0.64	24.152	5.75	14.325	0.474	13.213	0.488	14.324	1.392	7.414	0.782	16.302	0.269	12.614	0.476	10.633	1.037	10.689	0.767	7.92	2.303	14.896	0.272	7.023	0.505	8.692	0.821	6.395	12.23	8.066	1.425	13.057	0.401	11.578	0.211	8.069	0.932	13.612	1.238	9.722	0.952	12.134	0.833	8.698	0.277	13.196	0.512	8.699	0.379	9.366	0.399	8.694	0.37	10.547	0.256	7.449	0.752	6.608	1.65	10.451	0.266	8.064	1.086	8.065	0.409	8.065	0.368	6.392	6.168	6.606	2.569	7.921	2.235	7.399	0.707	8.699	0.909	10.539	2.189
0	0	10.079	0.353	10.708	0.202	14.899	0.376	8.71	0.642	7.931	1.81	9.736	1.943	12.856	0.523	7.417	1.231	10.387	0.304	10.708	0.329	12.158	1.554	22.527	0.276	6.277	3.63	6.617	2.051	8.715	0.496	10.773	0.535	25.421	0.584	12.625	0.652	10.708	0.232	11.594	0.202	15.012	0.912	11.008	0.232	10.702	0.508	26.538	6.791	8.711	0.74	8.708	0.681	11.59	0.22	10.656	1.062	13.205	0.553	9.732	1.132	9.077	0.371	10.707	0.502	8.712	0.709	8.711	0.734	9.737	2.085	8.709	0.665	8.714	0.986	10.562	3.325	9.738	2.178	13.625	1.256	9.734	1.805	7.467	0.461	8.704	0.765	10.648	0.694	9.733	0.985	9.735	3.045	13.465	0.348	7.987	0.343	6.399	11.766	9.731	1.923	9.732	1.409	10.563	0.239	9.734	1.399	8.077	0.414	9.735	1.504	9.732	1.536	8.078	1.143	11.5	0.327	9.733	0.888	9.734	1.028	9.732	1.128	12.156	0.917	9.736	0.716	12.861	0.231	8.082	0.463	6.457	0.766	12.151	0.756	9.741	0.593	12.151	0.722	12.64	0.411	17.544	0.211	9.731	0.954	13.096	0.283	10.562	2.357	11.502	0.282	9.738	0.965	9.732	1.587	9.726	6.592	12.15	1.301	9.733	2.171	7.937	2.2	10.71	0.245	10.561	1.812	8.707	0.684	13.221	0.923	8.711	0.788	8.078	0.432	8.711	0.977	9.732	5.244	24.624	0.4	8.71	0.409	7.931	2.178	6.616	2.899	9.692	0.301	7.939	2.764	10.708	0.317	9.736	1.477	9.731	1.628	30.573	1.307	8.083	0.923	7.989	0.565	8.706	0.631	8.708	0.633	8.714	0.865	8.709	0.718	9.735	1.632	8.707	0.721	28.385	0.215	9.718	1.967	9.736	2.222	8.082	1.081	8.083	0.468	8.714	0.303	9.738	1.86	7.939	2.804	7.94	2.198	24.622	0.419	14.672	0.266	13.249	0.913	14.911	0.247	7.936	2.757	17.53	0.351	12.843	0.463	10.69	0.232	10.758	0.642	7.976	0.222	14.997	1.248	7.399	0.655	9.715	2.6	6.552	0.248	8.696	1.296	13.195	0.504	12.139	1.507	8.699	0.351	14.312	1.124	10.694	0.313	12.29	0.398	9.723	1.103	13.614	1.087	9.723	1.099	10.553	446.689	9.716	2.023	10.691	0.427	7.923	4.82	7.402	0.765	10.546	0.291	8.694	0.93	8.695	0.591	8.694	0.614	6.446	0.645	7.03	0.706	7.977	0.201	7.921	2.547	9.724	1.035	10.628	0.862
0	0	10.182	0.925	10.841	0.277	15.009	1.372	9.734	1.853	8.074	0.525	10.359	0.313	13.067	0.442	7.463	0.444	10.698	0.342	10.775	0.345	12.314	0.861	22.74	0.381	6.393	18.327	7.039	0.489	9.738	2.83	11.036	1.148	25.702	7.296	12.854	0.327	12.15	0.738	12.032	0.374	15.453	2.471	11.274	0.301	10.77	0.275	27.822	0.345	9.734	2.017	9.734	1.479	12.023	0.455	10.714	0.599	13.25	0.291	10.704	0.47	9.733	4.176	12.151	0.726	9.736	1.613	9.734	2.484	10.565	0.236	9.733	1.906	9.738	2.223	10.652	1.39	10.565	0.253	14.325	1.076	10.563	0.232	7.942	3.05	9.738	1.11	10.707	0.232	10.703	0.46	10.47	0.228	13.568	0.297	8.078	0.789	6.458	0.532	10.56	0.314	10.703	0.464	10.704	0.867	10.078	0.416	8.707	0.632	10.706	0.523	10.561	0.361	8.708	0.402	11.583	0.513	10.704	0.358	10.705	0.426	10.562	0.234	12.313	0.652	12.148	0.782	13.097	0.288	8.713	0.653	6.617	4.115	14.328	0.245	12.151	0.798	15.012	0.747	12.87	0.253	21.48	0.433	10.702	0.252	13.207	0.609	10.65	0.808	12.149	1.177	10.079	0.397	10.559	0.252	9.799	7.235	12.307	0.32	10.561	0.302	7.992	0.22	10.772	1.412	10.648	0.524	9.732	1.659	13.637	0.977	9.735	1.69	8.709	0.596	8.987	0.257	9.803	6.01	25.276	0.771	8.985	0.559	7.988	0.216	7.041	0.793	9.732	4.967	7.989	0.264	12.15	0.759	10.563	0.216	10.703	0.501	30.638	3.165	8.714	0.799	8.085	1.291	9.732	1.732	9.734	1.301	9.738	1.939	9.734	1.575	10.561	0.218	9.733	1.685	28.584	0.262	10.346	0.245	10.472	0.223	8.712	0.918	8.713	0.686	9.738	2.37	10.569	0.269	7.991	0.313	7.993	0.219	25.38	0.606	14.89	0.281	13.296	1.306	15.01	1.186	7.988	0.282	20.182	0.328	13.054	0.431	10.757	0.499	11.026	1.639	8.063	0.562	16.301	0.382	7.92	2.341	10.45	0.371	6.637	1.542	8.971	0.328	13.24	0.268	12.325	0.206	9.722	2.033	14.898	0.232	12.137	1.015	12.618	0.223	10.697	0.323	14.313	0.976	10.554	0.239	10.687	0.245	10.548	0.283	11.573	0.22	7.97	0.43	7.923	2.701	10.689	0.648	9.716	3.179	9.717	2.085	8.969	0.467	6.554	0.514	7.403	0.672	8.064	0.555	7.973	0.243	10.694	0.545	10.681	0.899
0	0	10.249	0.472	11.008	0.238	15.45	1.923	10.079	0.476	8.705	0.731	10.709	0.667	13.208	0.489	7.939	3.116	12.143	0.661	11.042	1.11	12.639	1.158	23.22	0.567	6.55	0.331	7.418	0.488	10.57	0.273	11.139	0.785	25.833	0.751	13.064	0.428	13.075	0.291	12.153	2.2	15.896	1.24	12.031	0.321	11.029	0.424	28.384	0.217	10.08	0.568	10.705	0.441	12.149	2.045	10.78	0.731	13.292	0.329	12.147	1.088	9.802	1.73	12.306	0.508	10.707	0.583	10.469	0.442	10.708	0.905	10.561	0.302	10.567	0.242	10.709	0.632	10.709	0.571	14.673	0.221	10.706	0.581	7.993	0.354	10.397	0.223	10.773	0.415	12.147	1.035	10.56	0.336	13.637	0.915	8.329	1.015	6.559	0.324	10.702	0.646	12.146	0.956	11.585	0.324	10.707	0.294	9.731	1.292	12.149	0.885	10.703	0.645	9.736	1.3	12.02	0.346	12.148	0.968	12.148	1.271	10.703	0.538	12.636	0.603	14.324	0.32	13.206	0.595	9.736	1.825	7.041	0.905	15.013	0.795	13.075	0.255	17.545	0.4	13.082	0.398	22.739	0.282	12.144	0.883	13.247	0.455	10.707	0.296	12.334	0.232	10.283	0.205	10.704	0.378	9.896	3.792	12.337	0.248	10.707	0.439	8.079	0.524	11.036	1.153	11.035	0.945	10.56	0.242	13.927	0.357	10.353	0.224	9.735	1.44	9.227	0.328	9.901	3.105	25.422	2.965	9.061	0.593	8.073	0.526	7.417	1.448	9.803	4.139	8.081	0.698	12.308	0.324	10.706	0.596	12.147	1.267	30.747	1.846	9.738	2.363	8.715	1.099	10.557	0.235	10.706	0.425	10.566	0.273	10.56	0.24	10.706	0.63	10.557	0.248	29.912	0.288	10.548	0.245	10.566	0.352	9.735	3.545	9.739	1.52	10.473	0.234	10.709	0.726	8.081	0.686	8.082	0.527	25.42	1.317	15.011	1.121	13.375	0.294	16.311	0.333	8.078	0.662	20.704	1.747	13.194	0.686	11.027	1.909	11.127	1.392	8.313	0.934	17.178	0.355	7.974	0.235	10.544	0.267	7.021	0.505	9.21	0.343	13.616	1.495	12.619	0.635	10.549	0.335	14.998	1.378	12.294	0.318	13.053	0.574	12.139	1.019	14.9	0.36	10.695	0.559	11.763	0.386	10.688	0.822	12.135	0.906	8.066	1.143	7.976	0.276	12.134	1.01	10.452	0.295	10.063	0.476	9.046	0.515	6.601	3.783	7.924	2.672	8.693	0.775	8.063	0.621	12.138	1.3	10.754	0.656
0	0	10.452	0.669	11.273	0.315	15.894	1.054	10.282	0.236	9.73	2.365	12.151	0.82	13.247	0.322	7.99	0.336	12.22	0.234	11.143	1.125	12.87	0.399	23.66	0.372	6.607	5.14	7.94	1.456	10.71	0.58	11.272	0.504	25.892	4.06	13.206	0.818	13.627	0.214	12.338	0.485	16.312	0.322	12.15	2.287	11.133	0.261	28.548	0.473	10.173	0.232	12.149	0.883	12.334	0.429	11.053	0.91	13.552	1.277	12.304	0.383	9.903	1.019	12.632	0.495	12.15	1.042	10.558	0.466	11.59	0.276	10.705	0.741	10.708	0.695	10.778	1.001	12.152	1.023	14.91	0.419	12.149	1.262	8.084	0.742	10.704	0.53	11.041	1.265	12.303	0.457	10.708	0.315	13.761	1.035	8.379	1.211	6.614	3.193	11.583	0.251	12.303	0.468	12.149	0.867	10.841	0.375	10.076	0.465	12.307	0.313	12.147	1.837	10.706	0.483	12.146	2.01	12.305	0.233	12.305	0.272	12.147	1.268	12.865	0.524	15.009	0.965	13.626	1.566	10.08	0.525	7.417	1.563	17.546	0.449	13.628	0.21	20.196	0.356	13.255	0.553	23.22	0.201	12.855	0.217	13.294	0.21	10.774	0.563	12.628	0.534	10.707	0.503	12.147	0.918	10.075	0.521	12.629	0.609	12.15	0.955	8.709	0.751	11.137	0.967	11.137	0.664	10.704	0.731	14.336	4.224	10.564	0.231	10.077	0.455	9.732	5.559	10.08	0.64	25.703	5.796	9.226	0.481	8.704	0.767	7.464	0.565	9.901	1.716	8.711	0.894	12.634	0.415	12.15	0.997	12.302	0.395	30.88	0.589	10.472	0.329	9.738	3.092	10.704	0.526	12.15	0.845	10.71	0.472	10.707	0.309	11.589	0.283	10.705	0.419	30.638	9.654	10.69	0.608	10.707	1.054	10.471	0.465	10.081	0.51	10.567	0.298	11.591	0.208	8.712	1.034	8.712	0.765	25.673	3.03	16.314	0.407	13.463	0.421	17.541	0.509	8.708	0.986	21.094	0.3	13.233	0.745	11.128	1.653	11.34	0.229	8.364	1.132	17.53	0.841	8.063	0.554	10.688	0.679	7.405	1.599	9.716	5.316	13.746	0.211	12.849	0.441	10.694	0.531	16.301	0.333	12.622	0.301	13.612	0.342	12.297	0.215	15	1.575	12.138	1.39	11.883	0.323	11.568	0.329	12.291	0.468	8.695	0.492	8.066	0.615	12.29	0.655	10.545	0.277	10.267	0.221	9.212	0.436	7.026	0.992	7.977	0.235	9.715	2.6	8.693	0.897	12.295	0.426	11.019	0.544
0	0	10.558	3.537	12.023	0.413	16.118	0.419	10.707	0.372	10.074	0.591	12.308	0.507	13.293	0.484	8.081	0.77	12.301	0.412	11.438	0.357	13.082	0.902	23.833	0.286	7.03	1.168	8.083	0.412	11.591	0.232	11.437	0.352	26.147	0.359	13.245	1.044	15.013	0.89	12.633	0.871	17.092	0.442	12.309	0.613	12.02	0.402	29.913	0.381	10.282	0.3	12.306	0.311	12.861	0.298	11.152	1.017	13.624	1.495	12.857	0.281	10.077	0.304	12.86	0.338	12.307	0.465	10.65	0.217	12.152	1.083	12.15	0.944	11.59	0.224	11.04	0.764	12.31	0.389	15.01	1.721	12.306	0.482	8.34	0.743	12.148	1.096	11.142	1.115	12.858	0.239	12.151	0.939	13.88	0.831	8.707	1.075	7.037	0.683	12.146	1.172	12.63	0.251	12.303	1.146	12.15	0.986	10.277	0.257	12.631	0.686	12.303	0.707	11.591	0.253	12.302	0.881	13.068	0.403	12.631	0.229	12.303	0.441	13.079	0.804	17.543	0.584	13.756	0.238	10.283	0.238	7.465	0.57	20.195	0.539	14.913	0.229	20.722	0.742	13.635	0.835	24.152	5.012	13.064	0.47	13.626	1.442	11.031	0.617	12.859	0.309	10.842	0.377	12.303	0.391	10.173	3.539	12.86	0.375	12.306	0.389	9.371	0.442	11.436	0.473	11.271	0.435	12.149	0.975	14.92	0.296	10.705	0.888	10.282	0.245	10.179	0.327	10.178	2.874	25.895	3.681	9.731	4.07	9.368	0.444	7.939	4.182	10.08	0.324	8.986	1.881	12.861	0.277	12.305	0.595	12.628	0.738	31.051	0.322	10.565	0.287	10.36	0.263	12.147	0.85	12.306	0.397	12.153	1.18	12.15	0.89	12.149	1.019	12.147	0.854	30.747	4.001	11.571	0.293	11.589	0.37	10.566	0.325	10.285	0.243	10.709	1.041	12.153	1.353	8.987	0.37	9.377	0.461	25.701	7.976	17.543	0.293	13.567	0.431	20.717	0.709	9.369	0.569	21.47	1.799	13.28	0.718	11.423	0.649	11.422	0.62	8.693	0.925	19.487	0.327	8.693	0.821	12.133	1.017	7.453	0.597	10.165	0.294	13.906	0.392	13.057	0.472	12.139	1.195	17.531	0.474	12.847	0.207	14.311	0.311	13.059	0.333	16.303	0.274	12.295	0.364	12.139	462.897	12.133	1.36	12.844	0.242	8.971	0.257	8.32	0.52	12.615	0.513	10.689	0.918	10.549	0.227	9.368	0.378	7.401	2.384	8.067	0.648	10.062	0.608	9.353	0.505	12.621	0.446	11.121	0.366
0	0	10.65	1.581	12.151	1.895	16.311	0.469	10.842	0.447	10.278	0.251	12.634	0.519	13.626	1.255	8.712	1.146	13.066	0.457	11.501	0.348	13.222	0.979	24.155	3.441	7.407	1.385	8.337	0.783	12.031	0.21	11.504	0.262	26.245	0.342	13.291	1.514	16.204	0.206	12.861	0.684	17.542	0.553	12.633	0.752	12.146	1.756	30.393	2.639	10.564	0.222	12.631	0.587	13.069	0.738	11.449	0.397	13.755	0.541	13.066	0.606	10.178	1.152	13.069	0.741	12.632	0.672	10.708	0.502	12.308	0.789	12.305	0.874	12.153	1.373	11.143	0.593	12.636	0.668	16.199	0.229	12.631	0.869	8.39	0.948	12.223	0.625	11.438	0.399	13.066	0.637	12.308	0.339	13.918	1.185	8.865	0.236	7.414	1.672	12.302	0.506	12.856	0.309	12.631	0.334	12.306	0.28	10.562	0.212	12.86	0.321	12.629	0.57	12.148	1.193	12.625	1.611	13.624	0.36	12.858	0.277	12.858	0.304	13.213	0.561	20.192	0.437	14.324	2.884	10.707	0.717	7.939	3.814	20.723	0.622	15.013	0.853	21.483	1.185	13.925	0.277	25.276	0.618	13.621	0.319	13.757	0.298	11.137	0.408	13.066	0.461	12.151	0.929	12.631	0.322	10.243	3.212	13.069	0.47	12.859	0.291	9.734	1.396	11.501	0.337	11.436	0.287	12.306	0.47	15.022	1.091	11.586	0.393	10.706	0.515	10.249	0.263	10.249	2.549	26.146	0.241	9.802	3.904	9.728	2.347	7.986	0.435	10.177	3.778	9.06	1.801	13.072	0.313	12.631	0.688	12.854	0.419	31.463	0.26	10.71	0.645	10.474	0.352	12.304	0.613	12.632	0.562	12.31	0.389	12.632	0.757	12.305	0.571	12.306	0.387	30.887	0.891	12.136	1.381	12.152	1.471	10.707	1.524	10.71	0.475	11.589	0.478	12.309	0.681	9.374	0.661	9.736	2.783	25.835	0.649	20.719	0.475	13.631	1.104	21.478	0.823	9.731	2.368	21.58	0.462	13.447	0.218	11.487	0.585	11.486	0.542	8.967	1.338	19.799	0.288	9.714	3.181	12.289	0.683	7.926	3.959	10.453	0.461	14.167	0.237	13.196	0.702	12.295	0.472	20.183	0.358	13.057	0.393	14.451	0.314	13.617	0.38	17.18	0.247	12.621	0.287	13.616	371.992	12.289	0.932	13.054	0.576	9.715	5.272	8.368	0.966	12.841	0.344	11.567	0.449	10.691	0.527	9.676	0.247	7.448	0.937	8.316	0.628	10.16	0.205	9.715	2.303	12.846	0.431	11.338	0.208
0	0	10.71	0.606	12.336	0.257	17.091	0.711	12.15	1.099	10.464	0.335	12.86	0.382	13.756	0.479	8.988	0.302	14.322	0.388	12.15	0.299	13.635	1.249	24.623	0.309	7.454	0.589	8.387	1.124	12.154	1.644	11.588	0.287	26.536	16.897	13.37	0.28	17.544	0.509	13.073	0.488	18.499	0.223	12.864	0.255	12.302	0.67	30.473	2.885	10.707	0.484	12.858	0.382	13.205	0.769	11.514	0.4	13.875	0.377	13.624	0.418	10.249	0.643	13.627	0.247	12.858	0.402	12.151	0.822	12.634	0.875	12.631	0.686	12.309	0.858	11.275	0.361	12.863	0.378	16.313	0.335	12.857	0.499	8.714	1.149	12.307	0.835	11.502	0.343	13.624	0.463	12.633	0.469	14.056	0.749	8.982	1.518	7.461	0.667	12.853	0.351	13.065	0.574	12.86	0.252	13.07	0.362	10.703	0.464	13.072	0.641	12.856	0.319	12.306	0.348	12.852	1.054	14.324	0.253	13.066	0.469	13.066	0.644	13.254	0.543	20.719	1.387	14.67	0.239	10.843	0.484	7.989	0.406	21.106	0.256	17.545	0.453	22.529	0.32	14.335	2.509	25.42	1.223	14.321	0.478	13.843	0.246	11.273	0.408	13.208	0.941	12.307	0.431	12.856	0.244	10.328	0.589	13.209	0.772	13.069	0.653	10.078	0.543	11.586	0.261	11.503	0.214	12.631	0.572	16.324	0.312	12.149	1.143	10.841	0.433	10.468	0.499	10.332	0.644	26.247	0.452	9.9	1.981	10.073	0.587	8.081	1.071	10.249	3.376	9.226	1.192	13.628	0.273	12.859	0.356	13.066	0.534	32.17	2.236	12.153	1.098	10.565	0.454	12.63	0.612	12.859	0.387	12.636	0.52	12.861	0.294	12.63	0.799	12.63	0.748	31.05	0.293	12.196	0.314	12.308	0.806	11.587	0.609	10.845	0.457	12.153	1.122	12.636	0.401	9.734	3.786	10.081	0.573	25.891	6.355	21.481	0.742	13.759	0.604	21.593	0.24	10.076	0.727	22.512	2.016	13.615	1.926	11.57	0.302	11.571	0.429	9.044	1.501	20.179	0.757	10.061	0.634	12.614	0.984	7.974	0.382	10.547	0.617	14.316	2.908	13.238	0.564	12.621	0.288	20.707	0.588	13.614	0.423	14.896	0.58	14.315	0.301	17.532	0.641	12.847	0.381	14.181	1.695	12.614	0.569	13.202	0.236	10.451	0.793	8.695	0.78	13.054	0.919	12.135	1.134	10.827	0.431	9.715	3.991	7.533	0.228	8.696	1.018	10.263	0.363	10.061	0.671	13.057	0.617	11.489	0.215
0	0	10.775	1.136	12.634	0.322	17.539	0.62	12.306	0.41	10.556	0.304	13.071	0.704	13.876	0.352	9.374	0.749	14.908	0.405	12.305	0.367	13.925	0.227	25.276	0.621	7.929	3.815	8.713	0.873	12.31	0.556	12.023	0.481	27	0.21	13.457	0.506	20.196	0.484	13.21	0.504	18.7	0.254	13.071	0.571	12.626	0.372	30.639	6.412	10.843	0.508	13.07	0.475	13.247	0.477	11.596	0.269	13.913	0.346	14.323	0.608	10.461	1.16	14.327	0.665	13.07	0.738	12.306	0.519	12.863	0.452	12.859	0.389	12.633	1.227	11.443	0.271	13.073	0.52	17.19	0.265	13.068	0.634	8.872	0.214	12.401	0.401	11.586	0.237	14.323	0.36	12.86	0.332	14.177	0.719	9.058	1.811	7.935	4.636	13.064	0.76	13.215	0.211	13.068	1.211	13.627	0.343	10.839	0.425	13.627	0.298	13.065	0.717	12.632	0.317	13.065	1.537	14.909	0.455	13.623	0.474	13.624	0.534	13.302	0.235	21.481	3.22	15.012	1.299	11.587	0.315	8.081	0.967	21.483	1.382	19.503	0.21	22.741	0.881	14.621	0.213	25.701	10.273	14.461	0.246	13.916	0.66	11.442	0.22	13.247	0.714	13.074	0.62	13.066	0.502	10.447	2.749	13.249	1.241	13.217	0.293	10.279	0.311	12.146	2.019	11.588	0.222	12.857	0.418	17.203	0.244	12.305	0.814	12.149	0.998	10.559	0.542	10.452	2.55	26.536	15.199	10.08	0.278	10.276	0.261	8.332	1.907	10.453	1.415	9.387	0.395	14.327	0.263	13.069	0.784	13.624	0.48	33.091	0.625	12.309	0.655	10.71	0.821	12.858	0.382	13.071	0.564	12.864	0.401	13.073	0.393	12.859	0.367	12.859	0.307	31.461	0.41	12.292	0.796	12.633	1.099	12.152	1.404	12.152	1.191	12.308	1.29	12.863	0.396	10.08	0.788	10.176	0.231	26.301	0.432	22.26	0.28	13.847	0.273	22.524	0.572	10.277	0.395	22.724	1.365	13.744	0.967	12.134	1.204	11.815	0.331	9.208	0.965	20.704	1.957	10.263	0.517	12.839	0.448	8.068	0.936	10.691	1.242	14.406	0.223	13.285	0.627	12.846	0.331	21.469	1.352	14.314	0.315	14.997	0.935	14.901	0.382	19.49	0.236	13.056	0.643	14.347	0.28	12.84	0.401	13.613	0.438	10.544	0.798	8.854	0.213	13.2	0.439	12.288	1.154	12.135	1.12	9.786	4.179	7.922	6.449	8.97	0.896	10.45	0.239	10.262	0.367	13.616	0.477	12.083	0.263
0	0	11.071	2.124	12.864	0.21	18.198	0.222	12.632	0.464	10.702	0.603	13.629	0.264	13.914	0.476	9.732	5.958	15.007	0.929	12.627	3.809	14.187	0.205	25.421	0.645	7.978	0.397	8.872	0.219	12.634	0.33	12.149	2.084	27.12	0.327	13.562	0.39	20.722	0.849	13.252	0.342	18.94	0.217	13.208	0.685	12.857	0.343	30.742	3.237	11.587	0.21	13.218	0.23	13.626	2.166	12.03	0.342	14.176	0.201	14.464	0.366	10.558	4.263	14.466	0.472	13.22	0.214	12.632	0.666	13.073	1.023	13.071	0.838	12.861	0.513	11.509	0.2	13.223	0.233	17.542	0.839	13.216	0.29	8.989	1.395	12.633	0.618	12.149	1.061	14.464	0.417	13.071	0.375	14.327	14.48	9.13	0.321	7.983	0.487	13.21	0.427	13.624	0.385	13.216	0.386	14.326	0.457	12.147	1.228	14.325	0.699	13.624	0.798	12.86	0.434	13.205	2.26	15.009	1.161	14.323	0.401	14.322	0.413	13.467	0.226	22.526	0.772	15.455	4.698	12.151	1.136	8.331	0.266	21.59	0.42	20.195	0.519	23.236	1.761	14.92	0.479	25.833	0.974	14.901	0.658	14.052	0.22	11.59	0.225	13.294	1.295	13.628	0.312	13.213	0.251	10.551	16.12	13.296	0.816	13.627	0.541	10.565	0.214	12.332	0.541	12.027	0.443	13.068	0.734	17.554	0.795	12.629	1.098	12.306	0.474	10.649	0.202	10.555	13.989	27.002	0.201	10.177	1.72	10.556	0.337	8.384	1.398	10.555	6.238	9.487	0.435	14.912	0.38	13.217	0.207	14.323	0.49	34.165	0.652	12.634	0.69	11.59	0.354	13.07	0.56	13.627	0.286	13.073	0.494	13.628	0.29	13.072	0.864	13.071	0.433	32.17	3.051	12.38	0.23	12.861	0.459	12.306	1.936	12.309	0.473	12.635	0.504	13.073	0.951	10.18	0.371	10.284	0.293	26.474	1.472	22.525	0.221	13.917	2.652	22.735	0.716	10.562	0.267	23.221	1.192	13.864	0.891	12.321	0.4	12.01	0.338	9.534	0.331	21.09	0.794	10.449	0.333	13.051	0.854	8.321	0.591	11.116	0.207	14.662	0.206	13.451	0.272	13.057	0.654	21.58	0.409	14.455	0.283	17.53	0.403	15.001	1.171	19.801	0.206	13.616	0.556	14.429	1.044	13.053	1.326	14.312	0.577	10.633	0.305	8.97	1.456	13.612	0.516	12.613	1.446	12.291	0.42	9.885	2.257	7.968	0.57	9.048	0.945	10.543	0.412	10.546	0.212	14.316	0.288	12.132	1.556
