reference	S1	S2	S3	S4					
time 	area								
0	0	45.492	5.809	0	0	0	0	0	0
0	0	45.643	1.824	0	0	0	0	0	0
0	0	45.836	5.854	0	0	0	0	0	0
0	0	46.89	3.85	0	0	0	0	0	0
0	0	47.15	0.766	0	0	0	0	0	0
0	0	47.418	11.691	0	0	0	0	0	0
0	0	47.662	2.694	0	0	0	0	0	0
0	0	48.247	0.885	0	0	0	0	0	0
0	0	48.391	1.33	0	0	0	0	0	0
0	0	48.632	6.233	0	0	0	0	0	0
0	0	49.114	21.884	0	0	0	0	0	0
0	0	49.246	8.27	0	0	0	0	0	0
0	0	49.638	7.04	0	0	0	0	0	0
0	0	50.094	3.428	0	0	0	0	0	0
0	0	50.559	4.353	0	0	0	0	0	0
0	0	50.79	2.842	0	0	0	0	0	0
0	0	51.087	0.941	0	0	0	0	0	0
0	0	51.436	0.313	0	0	0	0	0	0
0	0	51.724	4.667	0	0	0	0	0	0
0	0	52.32	1.216	0	0	0	0	0	0
0	0	53.051	3.949	0	0	0	0	0	0
0	0	53.248	0.43	0	0	0	0	0	0
0	0	53.568	1.279	0	0	0	0	0	0
0	0	54.211	0.787	0	0	0	0	0	0
0	0	54.546	0.696	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
